"","ExpertID","Prediction","PredictedValue","DaysBefore","Decision","SymbolID","TransactionID","CompanyID"
"1","10052","Sell",-0.001183782,"30","Sell","S38080196",4655,"42"
"2","10054","Sell",-0.1185897,"46","Sell","S38080196",440,"5539"
"3","10065","Hold",0.06040268,"16","Hold","S18020147",6243,"302"
"4","10065","Hold",0.03515807,"0","Sell","S44957100",6180,"302"
"5","10065","Buy",0.1758691,"16","Sell","S2596037",4038,"302"
"6","10065","Hold",0.006512729,"26","Buy","S860674",3740,"302"
"7","10065","Hold",0.04976672,"44","Hold","S453098",6489,"302"
"8","10065","Hold",0.0172547,"49","Sell","S18020147",5463,"302"
"9","10065","Hold",-0.01184011,"49","Hold","S44957100",3914,"302"
"10","10065","Hold",-0.0917246,"51","Buy","S18020147",5991,"302"
"11","10065","Buy",0.1829774,"53","Sell","S58469",1989,"302"
"12","10065","Hold",-0.03791737,"0","Hold","S58469",3195,"302"
"13","10065","Hold",0.08653473,"0","Sell","S58469",6851,"302"
"14","10065","Buy",0.181888,"25","Sell","S58469",3704,"302"
"15","10065","Sell",-0.2223288,"23","Sell","S453098",7249,"302"
"16","10065","Sell",-0.162517,"39","Hold","S453098",1098,"302"
"17","10065","Hold",0.06585459,"39","Hold","S58469",3415,"302"
"18","10065","Hold",0.1242271,"35","Hold","S2596037",2560,"302"
"19","10065","Hold",-0.03178278,"0","Hold","S2690874",7155,"302"
"20","10065","Hold",0.09427609,"22","Sell","S18020147",5064,"302"
"21","10065","Hold",0.01042331,"40","Buy","S4663565",4477,"302"
"22","10065","Hold",0.03113226,"59","Sell","S18020147",1589,"302"
"23","10065","Sell",-0.2063492,"0","Hold","S453098",6314,"302"
"24","10065","Buy",0.08867775,"47","Sell","S2282788",6674,"302"
"25","10065","Sell",-0.08544552,"46","Hold","S453098",5005,"302"
"26","10065","Buy",0.1995638,"0","Sell","S58469",7230,"302"
"27","10065","Hold",0.004145555,"52","Sell","S18020147",2805,"302"
"28","10065","Hold",-0.03097093,"33","Hold","S58469",3532,"302"
"29","10065","Hold",0.06888361,"0","Hold","S453098",5005,"302"
"30","10065","Buy",NA,"37","Sell","S58469",5269,"302"
"31","1013","Buy",0.2614836,"40","Sell","S31194227",6804,"80"
"32","1013","Buy",0.5260007,"19","Hold","S30707220",4478,"80"
"33","1013","Buy",0.2448133,"25","Buy","S46138235",6352,"80"
"34","1013","Buy",0.3955652,"51","Buy","S46138235",4682,"80"
"35","1013","Buy",0.2229923,"0","Buy","S46138235",5817,"80"
"36","1013","Buy",0.236393,"11","Hold","S31194227",2859,"80"
"37","1013","Hold",0.08235294,"32","Sell","S10151185",6012,"80"
"38","1013","Hold",0.04700125,"0","Sell","S10151185",7150,"80"
"39","1013","Buy",0.5392509,"29","Buy","S46138235",1505,"80"
"40","1013","Buy",0.7001776,"0","Buy","S30707220",4422,"80"
"41","1013","Buy",0.07433532,"35","Buy","S46138235",4591,"80"
"42","1013","Buy",0.7562761,"31","Hold","S30707220",4478,"80"
"43","1013","Buy",0.2048193,"47","Hold","S46138235",3821,"80"
"44","1013","Buy",0.3411015,"25","Buy","S44107242",4054,"80"
"45","1013","Buy",0.1359725,"10","Buy","S46138235",3649,"80"
"46","1016","Buy",NA,"46","Hold","S29326176",667,"133"
"47","1016","Hold",0.09175981,"16","Buy","S29326176",7245,"133"
"48","1016","Buy",0.1365231,"48","Sell","S29326176",6409,"133"
"49","1016","Buy",0.2154185,"53","Sell","S38649154",1199,"133"
"50","1016","Buy",0.2670448,"27","Sell","S38649154",2931,"133"
"51","1016","Buy",0.2144402,"43","Sell","S4077776",1329,"133"
"52","1016","Hold",NA,"27","Buy","S997135",6599,"133"
"53","1016","Buy",NA,"21","Sell","S29326176",4694,"133"
"54","1035","Sell",0.02511533,"54","Hold","S29981135",1687,"134"
"55","1035","Buy",0.07120353,"47","Buy","S23987404",4385,"134"
"56","1035","Sell",0.007774259,"40","Buy","S29981135",4906,"134"
"57","1035","Hold",0.02846922,"25","Buy","S16029106",7047,"134"
"58","1035","Buy",0.2051629,"37","Sell","S1188272",3389,"134"
"59","1035","Sell",-0.1971454,"51","Sell","S38927421",4725,"134"
"60","1035","Sell",-0.1914894,"18","Buy","S38927421",5526,"134"
"61","1035","Hold",0.001401963,"21","Hold","S39831415",2497,"134"
"62","1035","Sell",-0.1986504,"44","Buy","S38927421",2801,"134"
"63","1035","Buy",0.21211,"38","Sell","S1188272",3389,"134"
"64","1035","Buy",0.3017825,"46","Hold","S1188272",7374,"134"
